season,model,forecast_date,reference_date,location,horizon,y_true,median,wis,mae
2022-23,patchtst,2022-12-03,2022-12-03,55,1,459.0,129.98992919921875,265.1293429059568,329.01007080078125
2022-23,patchtst,2022-12-03,2022-12-10,55,2,479.0,131.51220703125,265.3536428526174,347.48779296875
2022-23,patchtst,2022-12-03,2022-12-17,55,3,483.0,140.1912841796875,228.6035435071199,342.8087158203125
2022-23,patchtst,2022-12-03,2022-12-24,55,4,458.0,149.37722778320312,167.7716575415238,308.6227722167969
2022-23,patchtst,2022-12-10,2022-12-10,55,1,479.0,287.3685302734375,102.89247802236807,191.6314697265625
2022-23,patchtst,2022-12-10,2022-12-17,55,2,483.0,301.83966064453125,106.90803704137389,181.16033935546875
2022-23,patchtst,2022-12-10,2022-12-24,55,3,458.0,317.4591979980469,74.03593717823857,140.54080200195312
2022-23,patchtst,2022-12-10,2022-12-31,55,4,484.0,335.78924560546875,91.85692975583284,148.21075439453125
2022-23,patchtst,2022-12-17,2022-12-17,55,1,483.0,402.4225158691406,50.96861833323603,80.57748413085938
2022-23,patchtst,2022-12-17,2022-12-24,55,2,458.0,423.10650634765625,46.73495574287747,34.89349365234375
2022-23,patchtst,2022-12-17,2022-12-31,55,3,484.0,392.3464050292969,70.20784637451173,91.65359497070312
2022-23,patchtst,2022-12-17,2023-01-07,55,4,332.0,401.6370544433594,90.04384097555409,69.63705444335938
2022-23,patchtst,2022-12-24,2022-12-24,55,1,458.0,353.58966064453125,61.69393226955248,104.41033935546875
2022-23,patchtst,2022-12-24,2022-12-31,55,2,484.0,313.5850524902344,87.77524660525116,170.41494750976562
2022-23,patchtst,2022-12-24,2023-01-07,55,3,332.0,273.4515075683594,48.784892080555785,58.548492431640625
2022-23,patchtst,2022-12-24,2023-01-14,55,4,171.0,268.70867919921875,68.46626145736032,97.70867919921875
2022-23,patchtst,2022-12-31,2022-12-31,55,1,484.0,280.3118896484375,115.81219290691874,203.6881103515625
2022-23,patchtst,2022-12-31,2023-01-07,55,2,332.0,211.98995971679688,58.189424458379335,120.01004028320312
2022-23,patchtst,2022-12-31,2023-01-14,55,3,171.0,171.7404022216797,30.067788855511207,0.7404022216796875
2022-23,patchtst,2022-12-31,2023-01-21,55,4,108.0,139.8297576904297,34.93326682712721,31.829757690429688
2022-23,patchtst,2023-01-07,2023-01-07,55,1,332.0,292.73797607421875,34.05925177532693,39.26202392578125
2022-23,patchtst,2023-01-07,2023-01-14,55,2,171.0,230.7794647216797,45.01398966913638,59.77946472167969
2022-23,patchtst,2023-01-07,2023-01-21,55,3,108.0,190.43533325195312,49.5846809254522,82.43533325195312
2022-23,patchtst,2023-01-07,2023-01-28,55,4,51.0,139.88229370117188,50.80236802474312,88.88229370117188
2022-23,patchtst,2023-01-14,2023-01-14,55,1,171.0,167.50369262695312,22.603867625360902,3.496307373046875
2022-23,patchtst,2023-01-14,2023-01-21,55,2,108.0,121.57176208496094,22.73587619283925,13.571762084960938
2022-23,patchtst,2023-01-14,2023-01-28,55,3,51.0,56.47468566894531,17.035548162045686,5.4746856689453125
2022-23,patchtst,2023-01-14,2023-02-04,55,4,22.0,20.766998291015625,12.138992906653364,1.233001708984375
2022-23,patchtst,2023-01-21,2023-01-21,55,1,108.0,102.56172180175781,17.70725020698879,5.4382781982421875
2022-23,patchtst,2023-01-21,2023-01-28,55,2,51.0,44.554351806640625,14.128986106540847,6.445648193359375
2022-23,patchtst,2023-01-21,2023-02-04,55,3,22.0,10.649322509765625,11.180666092582372,11.350677490234375
2022-23,patchtst,2023-01-21,2023-02-11,55,4,23.0,8.630599975585938,8.659852367898692,14.369400024414062
2022-23,patchtst,2023-01-28,2023-01-28,55,1,51.0,48.50323486328125,14.281297143023947,2.49676513671875
2022-23,patchtst,2023-01-28,2023-02-04,55,2,22.0,2.7853240966796875,11.597311686640202,19.214675903320312
2022-23,patchtst,2023-01-28,2023-02-11,55,3,23.0,0.0,11.990541434909986,23.0
2022-23,patchtst,2023-01-28,2023-02-18,55,4,11.0,0.0,6.306343052076257,11.0
2022-23,patchtst,2023-02-04,2023-02-04,55,1,22.0,23.718551635742188,10.381953868036684,1.7185516357421875
2022-23,patchtst,2023-02-04,2023-02-11,55,2,23.0,0.8360137939453125,11.892817097539488,22.163986206054688
2022-23,patchtst,2023-02-04,2023-02-18,55,3,11.0,0.0,6.446610409280528,11.0
2022-23,patchtst,2023-02-04,2023-02-25,55,4,6.0,0.0,4.352850467847742,6.0
2022-23,patchtst,2023-02-11,2023-02-11,55,1,23.0,6.189605712890625,8.43833813874618,16.810394287109375
2022-23,patchtst,2023-02-11,2023-02-18,55,2,11.0,0.0,6.571909836478856,11.0
2022-23,patchtst,2023-02-11,2023-02-25,55,3,6.0,0.0,3.784328633184018,6.0
2022-23,patchtst,2023-02-11,2023-03-04,55,4,7.0,0.0,5.879597347093665,7.0
2022-23,patchtst,2023-02-18,2023-02-18,55,1,11.0,0.0,5.099840738047725,11.0
