reference_date,location,value,post_mandatory
2025-08-30,AR,1.0,True
2025-09-06,AR,2.0,True
2025-09-13,AR,1.0,True
2025-09-20,AR,3.0,True
2025-09-27,AR,9.0,True
2025-10-04,AR,4.0,True
2025-10-11,AR,5.0,True
2025-10-18,AR,2.0,True
2025-10-25,AR,3.0,True
2025-11-01,AR,9.0,True
2025-11-08,AR,9.0,True
2025-11-15,AR,27.0,True
2025-11-22,AR,18.0,True
2025-11-29,AR,78.0,True
2025-12-06,AR,56.0,True
2025-12-13,AR,87.0,True
2025-12-20,AR,145.0,True
2025-12-27,AR,297.0,True
2026-01-03,AR,280.0,True
2026-01-10,AR,165.0,True
2026-01-17,AR,142.0,True
2026-01-24,AR,167.0,True
2026-01-31,AR,212.0,True
2026-02-07,AR,175.0,True
2026-02-14,AR,234.0,True
2026-02-21,AR,173.0,True
2026-02-28,AR,125.0,True
2026-03-07,AR,108.0,True
